REF_AREA;Reference area (TR);FREQ;Frequency of observation (A);INDICATOR;Statistical indicator (NG_ADNKS);IKAMET_YERI;Place of residence (_T);ADNKS_GOSTERGE;ADNKS Indicator (NUFUS);Time period (TIME_PERIOD);Observation;OBS_STATUS;Observation status;TIME_FORMAT;Time format;DECIMAL;Decimals;UNIT_MEASURE;Unit of measure;UNIT_MULT;Unit multiplier
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2007;1118313;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2008;1130276;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2009;1140085;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2010;1152323;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2011;1154314;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2012;1160731;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2013;1162761;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2014;1189057;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2015;1186688;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2016;1196176;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2017;1204824;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2018;1226575;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2019;1228620;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2020;1240285;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2021;1250610;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2022;1257590;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2023;1273519;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2024;1276096;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR221;Balıkesir;NUFUS;Population;2025;1284517;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2007;476128;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2008;474791;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2009;477735;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2010;490397;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2011;486445;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2012;493691;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2013;502328;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2014;511790;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2015;513341;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2016;519793;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2017;530417;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2018;540662;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2019;542157;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2020;541548;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2021;557276;;;;;;;;;;
TR;Türkiye;A;Annual;NG_ADNKS;Address Based Population Registration System;TR222;Çanakkale;NUFUS;Population;2022;559383;;;;;;;;;;
